"category","genre","total"
"Best Actor","Adventure","1"
"Best Actor","Biography","3"
"Best Actor","Comedy","1"
"Best Actor","Crime","2"
"Best Actor","Drama","5"
"Best Actor","History","2"
"Best Actress","Comedy","1"
"Best Actress","Crime","1"
"Best Actress","Drama","5"
"Best Actress","Sci-Fi","1"
"Best Actress","Thriller","1"
"Best Adapted Screenplay","Biography","3"
"Best Adapted Screenplay","Comedy","1"
"Best Adapted Screenplay","Crime","1"
"Best Adapted Screenplay","Drama","5"
"Best Adapted Screenplay","History","1"
"Best Adapted Screenplay","Romance","1"
"Best Adapted Screenplay","Thriller","1"
"Best Animated Film","Adventure","3"
"Best Animated Film","Animation","4"
"Best Animated Film","Biography","1"
"Best Animated Film","Comedy","3"
"Best Animated Film","Crime","1"
"Best Animated Film","Drama","1"
"Best Animated Film","Family","3"
"Best Animated Film","Fantasy","2"
"Best Animated Film","History","1"
"Best Animated Film","Musical","1"
"Best Animated Film","Romance","1"
"Best Animated Film","Sci-Fi","1"
"Best Animated Film","War","1"
"Best Cinematography","Action","1"
"Best Cinematography","Adventure","1"
"Best Cinematography","Biography","1"
"Best Cinematography","Crime","1"
"Best Cinematography","Drama","5"
"Best Cinematography","Music","1"
"Best Cinematography","Sci-Fi","1"
"Best Cinematography","Thriller","2"
"Best Costume Design","Action","1"
"Best Costume Design","Biography","3"
"Best Costume Design","Crime","1"
"Best Costume Design","Drama","5"
"Best Costume Design","History","1"
"Best Costume Design","Romance","2"
"Best Director","Adventure","1"
"Best Director","Biography","2"
"Best Director","Comedy","1"
"Best Director","Crime","2"
"Best Director","Drama","5"
"Best Director","History","1"
"Best Director","Sci-Fi","1"
"Best Director","Thriller","1"
"Best Film Editing","Biography","3"
"Best Film Editing","Crime","1"
"Best Film Editing","Drama","5"
"Best Film Editing","History","2"
"Best Film Editing","Sci-Fi","1"
"Best Film Editing","Thriller","2"
"Best Makeup and Hairstyling","Action","1"
"Best Makeup and Hairstyling","Adventure","1"
"Best Makeup and Hairstyling","Biography","1"
"Best Makeup and Hairstyling","Comedy","1"
"Best Makeup and Hairstyling","Drama","1"
"Best Makeup and Hairstyling","History","1"
"Best Makeup and Hairstyling","Western","1"
"Best Original Score","Biography","1"
"Best Original Score","Comedy","1"
"Best Original Score","Drama","5"
"Best Original Score","History","1"
"Best Original Score","Music","1"
"Best Original Score","Romance","1"
"Best Original Score","Sci-Fi","2"
"Best Original Score","Thriller","1"
"Best Original Score","War","1"
"Best Original Screenplay","Adventure","1"
"Best Original Screenplay","Biography","1"
"Best Original Screenplay","Comedy","1"
"Best Original Screenplay","Crime","1"
"Best Original Screenplay","Drama","5"
"Best Original Screenplay","History","1"
"Best Original Screenplay","Romance","1"
"Best Original Screenplay","Sci-Fi","1"
"Best Original Song","Adventure","2"
"Best Original Song","Animation","2"
"Best Original Song","Biography","1"
"Best Original Song","Comedy","2"
"Best Original Song","Crime","1"
"Best Original Song","Drama","2"
"Best Original Song","Family","2"
"Best Original Song","Fantasy","1"
"Best Original Song","History","2"
"Best Original Song","Musical","1"
"Best Original Song","Romance","1"
"Best Original Song","Sci-Fi","2"
"Best Picture","Adventure","1"
"Best Picture","Biography","3"
"Best Picture","Crime","1"
"Best Picture","Drama","8"
"Best Picture","History","2"
"Best Picture","Romance","1"
"Best Picture","Sci-Fi","2"
"Best Picture","Thriller","2"
"Best Production Design","Biography","1"
"Best Production Design","Crime","1"
"Best Production Design","Drama","5"
"Best Production Design","History","1"
"Best Production Design","Romance","2"
"Best Production Design","Sci-Fi","2"
"Best Production Design","Thriller","1"
"Best Sound Editing","Action","2"
"Best Sound Editing","Adventure","2"
"Best Sound Editing","Biography","2"
"Best Sound Editing","Drama","4"
"Best Sound Editing","Fantasy","1"
"Best Sound Editing","Sci-Fi","1"
"Best Sound Editing","Thriller","3"
"Best Sound Editing","War","1"
"Best Sound Mixing","Action","1"
"Best Sound Mixing","Adventure","1"
"Best Sound Mixing","Biography","2"
"Best Sound Mixing","Drama","4"
"Best Sound Mixing","Fantasy","1"
"Best Sound Mixing","Music","1"
"Best Sound Mixing","Sci-Fi","1"
"Best Sound Mixing","Thriller","3"
"Best Sound Mixing","War","1"
"Best Supporting Actor","Biography","4"
"Best Supporting Actor","Comedy","1"
"Best Supporting Actor","Crime","2"
"Best Supporting Actor","Drama","5"
"Best Supporting Actor","History","2"
"Best Supporting Actor","Thriller","1"
"Best Supporting Actress","Adventure","1"
"Best Supporting Actress","Biography","1"
"Best Supporting Actress","Comedy","1"
"Best Supporting Actress","Crime","1"
"Best Supporting Actress","Drama","5"
"Best Supporting Actress","History","1"
"Best Visual Effects","Action","3"
"Best Visual Effects","Adventure","4"
"Best Visual Effects","Drama","1"
"Best Visual Effects","Fantasy","2"
"Best Visual Effects","Sci-Fi","3"
"Best Visual Effects","Thriller","1"
"Best Visual Effects","Western","1"
