"title","gross"
"12 Years a Slave","50336296"
"All Is Lost","6262942"
"American Hustle","146710375"
"August: Osage County","37066411"
"Before Midnight","8114507"
"Blue Jasmine","33315738"
"Captain Phillips","107100855"
"Dallas Buyers Club","25325094"
"Despicable Me 2","368049635"
"Frozen","389748225"
"Gravity","270478831"
"Her","24594344"
"Inside Llewyn Davis","13159114"
"Iron Man Three","408992272"
"Jackass Presents: Bad Grandpa","101978840"
"Kaze tachinu","1953947"
"Lone Survivor","123341616"
"Mandela: Long Walk to Freedom","8271237"
"Nebraska","17118747"
"Philomena","34611509"
"Prisoners","60962878"
"Saving Mr. Banks","82834332"
"Star Trek Into Darkness","228756232"
"The Book Thief","21277417"
"The Croods","187165546"
"The Great Gatsby","144812796"
"The Hobbit: The Desolation of Smaug","256961185"
"The Invisible Woman","1132262"
"The Lone Ranger","89289910"
"The Wolf of Wall Street","114570292"
"Yi dai zong shi","6594136"
