"title","revenue"
"The Croods","52165546"
"Dallas Buyers Club","19825094"
"The Book Thief","2277417"
"The Wolf of Wall Street","14570292"
"Lone Survivor","83341616"
"The Hobbit: The Desolation of Smaug","31961185"
"The Lone Ranger","-125710090"
"Iron Man Three","208992272"
"August: Osage County","12066411"
"The Great Gatsby","39812796"
"Prisoners","14962878"
"Star Trek Into Darkness","38756232"
"Gravity","170478831"
"Yi dai zong shi","-32005864"
"Captain Phillips","52100855"
"Despicable Me 2","292049635"
"The Invisible Woman","-18867738"
"Her","1594344"
"American Hustle","106710375"
"Nebraska","4118747"
"Kaze tachinu","-28046053"
"All Is Lost","-2737058"
"12 Years a Slave","30336296"
"Inside Llewyn Davis","2159114"
"Saving Mr. Banks","47834332"
"Before Midnight","5114507"
"Frozen","239748225"
"Mandela: Long Walk to Freedom","-26728763"
"Blue Jasmine","15315738"
"Philomena","22611509"
"Jackass Presents: Bad Grandpa","86978840"
