"title","percentage"
"The Croods","38"
"Dallas Buyers Club","360"
"The Book Thief","11"
"The Wolf of Wall Street","14"
"Lone Survivor","208"
"The Hobbit: The Desolation of Smaug","14"
"The Lone Ranger","-58"
"Iron Man Three","104"
"August: Osage County","48"
"The Great Gatsby","37"
"Prisoners","32"
"Star Trek Into Darkness","20"
"Gravity","170"
"Yi dai zong shi","-82"
"Captain Phillips","94"
"Despicable Me 2","384"
"The Invisible Woman","-94"
"Her","6"
"American Hustle","266"
"Nebraska","31"
"Kaze tachinu","-93"
"All Is Lost","-30"
"12 Years a Slave","151"
"Inside Llewyn Davis","19"
"Saving Mr. Banks","136"
"Before Midnight","170"
"Frozen","159"
"Mandela: Long Walk to Freedom","-76"
"Blue Jasmine","85"
"Philomena","188"
"Jackass Presents: Bad Grandpa","579"
