"title","budget","is_oscar"
"The Hobbit: The Desolation of Smaug","225000000","1"
"Man of Steel","225000000","0"
"The Lone Ranger","215000000","1"
"Oz the Great and Powerful","215000000","0"
"Iron Man Three","200000000","1"
"Jack the Giant Slayer","195000000","0"
"Star Trek Into Darkness","190000000","1"
"Pacific Rim","190000000","0"
"World War Z","190000000","0"
"47 Ronin","175000000","0"
"Thor: The Dark World","170000000","0"
"Furious 6","160000000","0"
"Frozen","150000000","1"
"White House Down","150000000","0"
"The Croods","135000000","1"
"Turbo","135000000","0"
"The Hunger Games: Catching Fire","130000000","0"
"After Earth","130000000","0"
"G.I. Joe: Retaliation","130000000","0"
"R.I.P.D.","130000000","0"
"Oblivion","120000000","0"
"The Wolverine","120000000","0"
"Elysium","115000000","0"
"Ender's Game","110000000","0"
"The Smurfs 2","105000000","0"
"The Great Gatsby","105000000","1"
"The Hangover Part III","103000000","0"
"The Wolf of Wall Street","100000000","1"
"Gravity","100000000","1"
"Epic","100000000","0"
"A Good Day to Die Hard","92000000","0"
"The Secret Life of Walter Mitty","90000000","0"
"Percy Jackson: Sea of Monsters","90000000","0"
"RED 2","84000000","0"
"Walking with Dinosaurs 3D","80000000","0"
"Grown Ups 2","80000000","0"
"Despicable Me 2","76000000","1"
"Now You See Me","75000000","0"
"Olympus Has Fallen","70000000","0"
"Legends of Oz: Dorothy's Return","70000000","0"
"2 Guns","61000000","0"
"The Mortal Instruments: City of Bones","60000000","0"
"Gangster Squad","60000000","0"
"Beautiful Creatures","60000000","0"
"The Internship","58000000","0"
"Captain Phillips","55000000","1"
"Free Birds","55000000","0"
"Anchorman 2: The Legend Continues","50000000","0"
"Escape Plan","50000000","0"
"Hansel & Gretel: Witch Hunters","50000000","0"
"Planes","50000000","0"
"Libertador","50000000","0"
"Prisoners","46000000","1"
"The Last Stand","45000000","0"
"The Heat","43000000","0"
"American Hustle","40000000","1"
"Lone Survivor","40000000","1"
"42","40000000","0"
"Grudge Match","40000000","0"
"The Host","40000000","0"
"Escape from Planet Earth","40000000","0"
"Snowpiercer","39200000","0"
"Yi dai zong shi","38600000","1"
"Rush","38000000","0"
"Riddick","38000000","0"
"We're the Millers","37000000","0"
"The Big Wedding","35000000","0"
"Tian ji: Fu chun shan ju tu","35000000","0"
"Saving Mr. Banks","35000000","1"
"Singularity","35000000","0"
"Warm Bodies","35000000","0"
"Paranoia","35000000","0"
"Mandela: Long Walk to Freedom","35000000","1"
"Identity Thief","35000000","0"
"Broken City","35000000","0"
"Parker","35000000","0"
"The House of Magic","34000000","0"
"L'extravagant voyage du jeune et prodigieux T.S. Spivet","33000000","0"
"This Is the End","32000000","0"
"Oldboy","30000000","0"
"Stalingrad","30000000","0"
"Kaze tachinu","30000000","1"
"Carrie","30000000","0"
"The Butler","30000000","0"
"Runner Runner","30000000","0"
"The Family","30000000","0"
"Space Pirate Captain Harlock","30000000","0"
"Side Effects","30000000","0"
"The Incredible Burt Wonderstone","30000000","0"
"Last Vegas","28000000","0"
"Kick-Ass 2","28000000","0"
"The World's End","28000000","0"
"The Fifth Estate","28000000","0"
"Safe Haven","28000000","0"
"The Frozen Ground","27220000","0"
"Odd Thomas","27000000","0"
"The Railway Man","26000000","0"
"Pain & Gain","26000000","0"
"Delivery Man","26000000","0"
"Blood Ties","25500000","0"
