"title","revenue","is_oscar"
"The Hunger Games: Catching Fire","293905466","0"
"Despicable Me 2","292049635","1"
"Frozen","239748225","1"
"Iron Man Three","208992272","1"
"Gravity","170478831","1"
"The Conjuring","117387272","0"
"The Heat","116578352","0"
"We're the Millers","113368971","0"
"American Hustle","106710375","1"
"Identity Thief","99455175","0"
"Jackass Presents: Bad Grandpa","86978840","1"
"The Butler","86631310","0"
"Lone Survivor","83341616","1"
"Furious 6","78673370","0"
"Insidious: Chapter 2","78574831","0"
"Anchorman 2: The Legend Continues","76527201","0"
"This Is the End","69470202","0"
"Man of Steel","66021565","0"
"The Purge","61423650","0"
"Mama","56588220","0"
"42","55001343","0"
"Grown Ups 2","53668525","0"
"The Best Man Holiday","53492685","0"
"The Croods","52165546","1"
"Captain Phillips","52100855","1"
"Saving Mr. Banks","47834332","1"
"Safe Haven","43346930","0"
"Now You See Me","42698894","0"
"Planes","40282580","0"
"The Great Gatsby","39812796","1"
"No se Aceptan Devoluciones","38956509","0"
"The Call","38872378","0"
"Star Trek Into Darkness","38756232","1"
"A Haunted House","38041683","0"
"Evil Dead","37239856","0"
"Thor: The Dark World","36012423","0"
"Last Vegas","35910583","0"
"The Hobbit: The Desolation of Smaug","31961185","1"
"Warm Bodies","31359959","0"
"12 Years a Slave","30336296","1"
"Olympus Has Fallen","28895417","0"
"Snitch","27919096","0"
"Texas Chainsaw 3D","24334256","0"
"Pain & Gain","23874933","0"
"Philomena","22611509","1"
"Oz the Great and Powerful","19903076","0"
"Dallas Buyers Club","19825094","1"
"Don Jon","18475193","0"
"Escape from Planet Earth","17011847","0"
"The Way Way Back","16901098","0"
"Blue Jasmine","15315738","1"
"Prisoners","14962878","1"
"2 Guns","14573300","0"
"The Wolf of Wall Street","14570292","1"
"Dark Skies","13911930","0"
"Baggage Claim","13064616","0"
"21 & Over","12675765","0"
"The Wolverine","12550960","0"
"World War Z","12351611","0"
"August: Osage County","12066411","1"
"Scary Movie 5","12014289","0"
"The Last Exorcism Part II","10152879","0"
"The Hangover Part III","9186625","0"
"Epic","7515297","0"
"The Family","6917730","0"
"Hansel & Gretel: Witch Hunters","5682070","0"
"Carrie","5266619","0"
"Before Midnight","5114507","1"
"Admission","5004225","0"
"Delivery Man","4600567","0"
"The Spectacular Now","4351969","0"
"Nebraska","4118747","1"
"jOBS","4117443","0"
"Riddick","3997790","0"
"Movie 43","2828771","0"
"The Book Thief","2277417","1"
"Inside Llewyn Davis","2159114","1"
"Side Effects","2154410","0"
"The To Do List","1947339","0"
"Home Run","1659955","0"
"Her","1594344","1"
"The Oscar Nominated Short Films 2013: Animation","1434206","0"
"Kick-Ass 2","751715","0"
"Free Birds","682518","0"
"Whensday","8497","0"
"The Canyons","-200506","0"
"Seasons of Gray","-429400","0"
"Torn","-445119","0"
"Prince Avalanche","-520049","0"
"Mother of George","-604600","0"
"I'm in Love with a Church Girl","-619595","0"
"Dabba","-955458","0"
"200 Cartas","-993267","0"
"Not Today","-1282097","0"
"Silver Circle","-1595920","0"
"The Ultimate Life","-1773941","0"
"The World's End","-1996851","0"
"Homefront","-2216223","0"
"Line of Duty","-2446332","0"
"At Middleton","-2450047","0"
