"title","budget","gross","revenue"
"12 Years a Slave","20000000","50336296","30336296"
"All Is Lost","9000000","6262942","-2737058"
"American Hustle","40000000","146710375","106710375"
"August: Osage County","25000000","37066411","12066411"
"Before Midnight","3000000","8114507","5114507"
"Blue Jasmine","18000000","33315738","15315738"
"Captain Phillips","55000000","107100855","52100855"
"Dallas Buyers Club","5500000","25325094","19825094"
"Despicable Me 2","76000000","368049635","292049635"
"Frozen","150000000","389748225","239748225"
"Gravity","100000000","270478831","170478831"
"Her","23000000","24594344","1594344"
"Inside Llewyn Davis","11000000","13159114","2159114"
"Iron Man Three","200000000","408992272","208992272"
"Jackass Presents: Bad Grandpa","15000000","101978840","86978840"
"Kaze tachinu","30000000","1953947","-28046053"
"Lone Survivor","40000000","123341616","83341616"
"Mandela: Long Walk to Freedom","35000000","8271237","-26728763"
"Nebraska","13000000","17118747","4118747"
"Philomena","12000000","34611509","22611509"
"Prisoners","46000000","60962878","14962878"
"Saving Mr. Banks","35000000","82834332","47834332"
"Star Trek Into Darkness","190000000","228756232","38756232"
"The Book Thief","19000000","21277417","2277417"
"The Croods","135000000","187165546","52165546"
"The Great Gatsby","105000000","144812796","39812796"
"The Hobbit: The Desolation of Smaug","225000000","256961185","31961185"
"The Invisible Woman","20000000","1132262","-18867738"
"The Lone Ranger","215000000","89289910","-125710090"
"The Wolf of Wall Street","100000000","114570292","14570292"
"Yi dai zong shi","38600000","6594136","-32005864"
