"date","total"
"2013-01-01","24"
"2013-01-02","3"
"2013-01-03","2"
"2013-01-04","8"
"2013-01-05","2"
"2013-01-06","4"
"2013-01-07","3"
"2013-01-08","3"
"2013-01-09","1"
"2013-01-10","7"
"2013-01-11","9"
"2013-01-12","4"
"2013-01-13","6"
"2013-01-14","1"
"2013-01-15","11"
"2013-01-16","3"
"2013-01-17","7"
"2013-01-18","23"
"2013-01-19","27"
"2013-01-20","24"
"2013-01-21","13"
"2013-01-22","12"
"2013-01-23","4"
"2013-01-24","3"
"2013-01-25","9"
"2013-01-26","4"
"2013-01-29","8"
"2013-01-30","3"
"2013-01-31","5"
"2013-02-01","21"
"2013-02-02","7"
"2013-02-03","3"
"2013-02-05","3"
"2013-02-06","2"
"2013-02-07","4"
"2013-02-08","7"
"2013-02-09","3"
"2013-02-10","5"
"2013-02-11","1"
"2013-02-12","8"
"2013-02-13","7"
"2013-02-14","14"
"2013-02-15","19"
"2013-02-16","5"
"2013-02-17","2"
"2013-02-18","2"
"2013-02-19","4"
"2013-02-20","3"
"2013-02-21","4"
"2013-02-22","8"
"2013-02-23","7"
"2013-02-25","3"
"2013-02-26","2"
"2013-02-27","3"
"2013-02-28","10"
"2013-03-01","34"
"2013-03-02","19"
"2013-03-03","10"
"2013-03-04","2"
"2013-03-05","6"
"2013-03-06","1"
"2013-03-07","8"
"2013-03-08","23"
"2013-03-09","13"
"2013-03-10","11"
"2013-03-11","7"
"2013-03-12","14"
"2013-03-13","4"
"2013-03-14","1"
"2013-03-15","11"
"2013-03-16","4"
"2013-03-17","6"
"2013-03-18","6"
"2013-03-19","4"
"2013-03-20","8"
"2013-03-21","5"
"2013-03-22","21"
"2013-03-23","5"
"2013-03-24","5"
"2013-03-25","2"
"2013-03-26","12"
"2013-03-27","5"
"2013-03-28","9"
"2013-03-29","12"
"2013-03-30","9"
"2013-03-31","2"
"2013-04-01","8"
"2013-04-02","8"
"2013-04-03","2"
"2013-04-04","10"
"2013-04-05","25"
"2013-04-06","18"
"2013-04-07","10"
"2013-04-08","3"
"2013-04-09","14"
"2013-04-10","7"
"2013-04-11","7"
"2013-04-12","18"
"2013-04-13","19"
"2013-04-14","4"
"2013-04-15","7"
"2013-04-16","5"
"2013-04-17","3"
"2013-04-18","15"
"2013-04-19","25"
"2013-04-20","23"
"2013-04-21","18"
"2013-04-22","3"
"2013-04-23","8"
"2013-04-24","2"
"2013-04-25","27"
"2013-04-26","21"
"2013-04-27","19"
"2013-04-28","11"
"2013-04-29","4"
"2013-04-30","4"
"2013-05-01","17"
"2013-05-02","13"
"2013-05-03","19"
"2013-05-04","14"
"2013-05-05","13"
"2013-05-06","2"
"2013-05-07","8"
"2013-05-08","4"
"2013-05-09","4"
"2013-05-10","19"
"2013-05-11","9"
"2013-05-12","2"
"2013-05-13","4"
"2013-05-14","6"
"2013-05-15","6"
"2013-05-16","7"
"2013-05-17","10"
"2013-05-18","12"
"2013-05-19","10"
"2013-05-20","3"
"2013-05-21","8"
"2013-05-22","6"
"2013-05-23","5"
"2013-05-24","14"
"2013-05-25","11"
"2013-05-26","4"
"2013-05-27","4"
"2013-05-28","5"
"2013-05-29","4"
"2013-05-30","7"
"2013-05-31","26"
"2013-06-01","27"
"2013-06-02","6"
"2013-06-03","6"
"2013-06-04","12"
"2013-06-05","6"
"2013-06-06","16"
"2013-06-07","26"
"2013-06-08","15"
"2013-06-09","7"
"2013-06-10","4"
"2013-06-11","4"
"2013-06-12","6"
"2013-06-13","5"
"2013-06-14","27"
"2013-06-15","23"
"2013-06-16","10"
"2013-06-17","5"
"2013-06-18","10"
"2013-06-19","7"
"2013-06-20","17"
"2013-06-21","26"
"2013-06-22","13"
"2013-06-23","13"
"2013-06-24","8"
"2013-06-25","9"
"2013-06-26","10"
"2013-06-27","13"
"2013-06-28","26"
"2013-06-29","13"
"2013-06-30","7"
"2013-07-01","12"
"2013-07-02","7"
"2013-07-03","5"
"2013-07-04","3"
"2013-07-05","6"
"2013-07-06","4"
"2013-07-07","5"
"2013-07-08","1"
"2013-07-09","8"
"2013-07-10","2"
"2013-07-11","4"
"2013-07-12","20"
"2013-07-13","15"
"2013-07-14","6"
"2013-07-15","7"
"2013-07-16","4"
"2013-07-17","6"
"2013-07-18","9"
"2013-07-19","17"
"2013-07-20","11"
"2013-07-21","6"
"2013-07-22","3"
"2013-07-23","4"
"2013-07-24","1"
"2013-07-25","4"
"2013-07-26","21"
"2013-07-27","13"
"2013-07-28","8"
"2013-07-29","3"
"2013-07-30","9"
"2013-07-31","7"
"2013-08-01","17"
"2013-08-02","17"
"2013-08-03","13"
"2013-08-04","4"
"2013-08-05","7"
"2013-08-06","10"
"2013-08-07","5"
"2013-08-08","14"
"2013-08-09","21"
"2013-08-10","7"
"2013-08-11","5"
"2013-08-12","3"
"2013-08-13","7"
"2013-08-14","8"
"2013-08-15","8"
"2013-08-16","17"
"2013-08-17","16"
"2013-08-18","6"
"2013-08-19","1"
"2013-08-20","7"
"2013-08-21","4"
"2013-08-22","5"
"2013-08-23","17"
"2013-08-24","10"
"2013-08-25","5"
"2013-08-26","6"
"2013-08-27","7"
"2013-08-28","4"
"2013-08-29","9"
"2013-08-30","19"
"2013-08-31","9"
"2013-09-01","19"
"2013-09-02","2"
"2013-09-03","7"
"2013-09-05","6"
"2013-09-06","29"
"2013-09-07","9"
"2013-09-08","7"
"2013-09-09","3"
"2013-09-10","11"
"2013-09-11","5"
"2013-09-12","8"
