"id","title","date"
"tt1321870","Gangster Squad","2013-01-07"
"tt1321870","Gangster Squad","2013-01-11"
"tt1549920","The Last Stand","2013-01-12"
"tt1549920","The Last Stand","2013-01-14"
"tt1235522","Broken City","2013-01-18"
"tt1549920","The Last Stand","2013-01-18"
"tt1904996","Parker","2013-01-18"
"tt1428538","Hansel & Gretel: Witch Hunters","2013-01-25"
"tt1904996","Parker","2013-01-25"
"tt1588173","Warm Bodies","2013-01-29"
"tt1588173","Warm Bodies","2013-02-01"
"tt2024432","Identity Thief","2013-02-08"
"tt2053463","Side Effects","2013-02-08"
"tt1559547","Beautiful Creatures","2013-02-14"
"tt1606378","A Good Day to Die Hard","2013-02-14"
"tt1623205","Oz the Great and Powerful","2013-02-14"
"tt1702439","Safe Haven","2013-02-14"
"tt0765446","Escape from Planet Earth","2013-02-15"
"tt1351685","Jack the Giant Slayer","2013-03-01"
"tt0790628","The Incredible Burt Wonderstone","2013-03-08"
"tt1549920","The Last Stand","2013-03-08"
"tt1623205","Oz the Great and Powerful","2013-03-08"
"tt0790628","The Incredible Burt Wonderstone","2013-03-15"
"tt2302755","Olympus Has Fallen","2013-03-18"
"tt0481499","The Croods","2013-03-22"
"tt2302755","Olympus Has Fallen","2013-03-22"
"tt1583421","G.I. Joe: Retaliation","2013-03-28"
"tt1517260","The Host","2013-03-29"
"tt1767354","Odd Thomas","2013-04-06"
"tt1980209","Pain & Gain","2013-04-11"
"tt0453562","42","2013-04-12"
"tt1483013","Oblivion","2013-04-19"
"tt1931435","The Big Wedding","2013-04-26"
"tt1980209","Pain & Gain","2013-04-26"
"tt1343092","The Great Gatsby","2013-05-01"
"tt1300854","Iron Man Three","2013-05-03"
"tt1343092","The Great Gatsby","2013-05-10"
"tt1408101","Star Trek Into Darkness","2013-05-16"
"tt1951261","The Hangover Part III","2013-05-20"
"tt1670345","Now You See Me","2013-05-21"
"tt1670345","Now You See Me","2013-05-23"
"tt1951261","The Hangover Part III","2013-05-23"
"tt0848537","Epic","2013-05-24"
"tt1905041","Furious 6","2013-05-24"
"tt1670345","Now You See Me","2013-05-31"
"tt1815862","After Earth","2013-05-31"
"tt1245492","This Is the End","2013-06-03"
"tt2234155","The Internship","2013-06-07"
"tt0770828","Man of Steel","2013-06-10"
"tt1245492","This Is the End","2013-06-10"
"tt0770828","Man of Steel","2013-06-12"
"tt1245492","This Is the End","2013-06-12"
"tt0770828","Man of Steel","2013-06-14"
"tt0816711","World War Z","2013-06-21"
"tt1210819","The Lone Ranger","2013-06-22"
"tt2334879","White House Down","2013-06-28"
"tt2404463","The Heat","2013-06-28"
"tt1210819","The Lone Ranger","2013-07-03"
"tt1690953","Despicable Me 2","2013-07-03"
"tt1663662","Pacific Rim","2013-07-12"
"tt2191701","Grown Ups 2","2013-07-12"
"tt1860353","Turbo","2013-07-17"
"tt1211956","Escape Plan","2013-07-18"
"tt0790736","R.I.P.D.","2013-07-19"
"tt1821694","RED 2","2013-07-19"
"tt1430132","The Wolverine","2013-07-26"
"tt2017020","The Smurfs 2","2013-07-28"
"tt1272878","2 Guns","2013-07-30"
"tt2017020","The Smurfs 2","2013-07-31"
"tt1272878","2 Guns","2013-08-02"
"tt1723121","We're the Millers","2013-08-03"
"tt1327773","The Butler","2013-08-05"
"tt1691917","Planes","2013-08-05"
"tt1723121","We're the Millers","2013-08-07"
"tt1854564","Percy Jackson: Sea of Monsters","2013-08-07"
"tt1535108","Elysium","2013-08-09"
"tt1691917","Planes","2013-08-09"
"tt1538403","The Mortal Instruments: City of Bones","2013-08-12"
"tt1327773","The Butler","2013-08-16"
"tt1413495","Paranoia","2013-08-16"
"tt1650554","Kick-Ass 2","2013-08-16"
"tt1538403","The Mortal Instruments: City of Bones","2013-08-21"
"tt1462900","Yi dai zong shi","2013-08-22"
"tt1213663","The World's End","2013-08-23"
"tt1462900","Yi dai zong shi","2013-08-23"
"tt2005374","The Frozen Ground","2013-08-23"
"tt1392214","Prisoners","2013-08-30"
"tt1462900","Yi dai zong shi","2013-08-30"
"tt1454468","Gravity","2013-08-31"
"tt1411250","Riddick","2013-09-06"
"tt2404311","The Family","2013-09-10"
"tt2404311","The Family","2013-09-13"
"tt2364841","Runner Runner","2013-09-18"
"tt1392214","Prisoners","2013-09-20"
"tt1979320","Rush","2013-09-20"
"tt1535109","Captain Phillips","2013-09-27"
"tt1979320","Rush","2013-09-27"
"tt2013293","Kaze tachinu","2013-09-28"
"tt1454468","Gravity","2013-10-04"
"tt2364841","Runner Runner","2013-10-04"
"tt0359950","The Secret Life of Walter Mitty","2013-10-05"
"tt1939659","Carrie","2013-10-07"
"tt2304771","Mandela: Long Walk to Freedom","2013-10-09"
"tt2013293","Kaze tachinu","2013-10-10"
"tt1535109","Captain Phillips","2013-10-11"
"tt2304771","Mandela: Long Walk to Freedom","2013-10-11"
"tt2668134","Space Pirate Captain Harlock","2013-10-11"
"tt2304771","Mandela: Long Walk to Freedom","2013-10-12"
"tt0359950","The Secret Life of Walter Mitty","2013-10-13"
"tt1837703","The Fifth Estate","2013-10-13"
"tt1211956","Escape Plan","2013-10-15"
"tt1211956","Escape Plan","2013-10-18"
"tt1837703","The Fifth Estate","2013-10-18"
"tt1939659","Carrie","2013-10-18"
"tt2304771","Mandela: Long Walk to Freedom","2013-10-19"
"tt2304771","Mandela: Long Walk to Freedom","2013-10-25"
"tt1621039","Free Birds","2013-10-27"
"tt1731141","Ender's Game","2013-10-28"
"tt1204975","Last Vegas","2013-11-01"
"tt1621039","Free Birds","2013-11-01"
"tt1731141","Ender's Game","2013-11-01"
"tt2140373","Saving Mr. Banks","2013-11-07"
"tt1981115","Thor: The Dark World","2013-11-08"
"tt2013293","Kaze tachinu","2013-11-08"
"tt2294629","Frozen","2013-11-10"
"tt2304771","Mandela: Long Walk to Freedom","2013-11-10"
"tt1321511","Oldboy","2013-11-11"
"tt1091191","Lone Survivor","2013-11-12"
"tt0359950","The Secret Life of Walter Mitty","2013-11-13"
"tt2140373","Saving Mr. Banks","2013-11-14"
"tt2304771","Mandela: Long Walk to Freedom","2013-11-17"
"tt1951264","The Hunger Games: Catching Fire","2013-11-18"
"tt2294629","Frozen","2013-11-19"
"tt1951264","The Hunger Games: Catching Fire","2013-11-20"
"tt1951264","The Hunger Games: Catching Fire","2013-11-22"
"tt2387559","Delivery Man","2013-11-22"
"tt2304771","Mandela: Long Walk to Freedom","2013-11-23"
"tt1321511","Oldboy","2013-11-27"
"tt2294629","Frozen","2013-11-27"
"tt2304771","Mandela: Long Walk to Freedom","2013-11-29"
"tt1170358","The Hobbit: The Desolation of Smaug","2013-12-02"
"tt1170358","The Hobbit: The Desolation of Smaug","2013-12-13"
"tt1800241","American Hustle","2013-12-13"
"tt2140373","Saving Mr. Banks","2013-12-13"
"tt1661382","Grudge Match","2013-12-16"
"tt0993846","The Wolf of Wall Street","2013-12-17"
"tt1229340","Anchorman 2: The Legend Continues","2013-12-18"
"tt1762399","Walking with Dinosaurs 3D","2013-12-20"
"tt1800241","American Hustle","2013-12-20"
"tt2140373","Saving Mr. Banks","2013-12-20"
"tt0359950","The Secret Life of Walter Mitty","2013-12-25"
"tt0993846","The Wolf of Wall Street","2013-12-25"
"tt1091191","Lone Survivor","2013-12-25"
"tt1335975","47 Ronin","2013-12-25"
"tt1661382","Grudge Match","2013-12-25"
"tt2304771","Mandela: Long Walk to Freedom","2013-12-25"
